"Db type", "Total Questions", "Precision (First Result)", "Precision (Top 3 Results)", "Precision (Top 5 Results)"
"Overlap_0%", "261", "48.276%", "67.433%", "77.778%"
"Overlap_5%", "261", "45.211%", "65.134%", "77.011%"
"Overlap_10%", "261", "45.594%", "64.368%", "75.096%"
"Overlap_15%", "261", "46.743%", "68.199%", "77.778%"
"Overlap_20%", "261", "47.510%", "67.816%", "75.479%"
"Overlap_30%", "261", "49.425%", "69.349%", "77.395%"
"Hybrid_64", "261", "60.153%", "78.161%", "85.057%"
"Hybrid_128", "261", "59.770%", "78.544%", "86.207%"
"Hybrid_192", "261", "55.172%", "73.563%", "81.992%"
"Hybrid_256", "261", "51.341%", "72.031%", "80.843%"
